domain,last_update_date,categories,total_votes
answers.quantarchive.com,1678347616,"{""Xcitium Verdict Cloud"": ""unknown"", ""Forcepoint ThreatSeeker"": ""sports""}","{""harmless"": 0, ""malicious"": 0}"
dejavuweb.com,1684577695,"{""BitDefender"": ""parked"", ""Forcepoint ThreatSeeker"": ""newly registered websites""}","{""harmless"": 0, ""malicious"": 0}"
bakbak.in,1685526502,"{""BitDefender"": ""business"", ""Forcepoint ThreatSeeker"": ""sex""}","{""harmless"": 0, ""malicious"": 0}"
demora.lv,,"{""Forcepoint ThreatSeeker"": ""blogs and personal sites""}","{""harmless"": 0, ""malicious"": 0}"
daeshintravel.com,1646352000,{},"{""harmless"": 0, ""malicious"": 0}"
parlons-jardin.fr,,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
riegosur.es,,"{""BitDefender"": ""business"", ""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
gatotca.oyi.my.id,,"{""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
onecomp.ru,,"{""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
emreinsaat.com.tr,,{},"{""harmless"": 0, ""malicious"": 0}"
sharpyun.com,1662364896,"{""BitDefender"": ""business""}","{""harmless"": 0, ""malicious"": 0}"
business-sberbank-online1.ru,,"{""Comodo Valkyrie Verdict"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""financial data and services"", ""Dr.Web"": ""not recommended site""}","{""harmless"": 0, ""malicious"": 0}"
olangodito.com,1682380800,{},"{""harmless"": 0, ""malicious"": 0}"
shop4water.ie,1697530231,{},"{""harmless"": 0, ""malicious"": 0}"
projektnatura.si,,"{""Forcepoint ThreatSeeker"": ""travel"", ""sophos"": ""personal sites"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
kajol.pw,1693501685,{},"{""harmless"": 0, ""malicious"": 0}"
whenregistered.com,1692366668,"{""BitDefender"": ""business"", ""Forcepoint ThreatSeeker"": ""information technology""}","{""harmless"": 0, ""malicious"": 0}"
discounterify.com,1695938471,{},"{""harmless"": 0, ""malicious"": 0}"
oishiramen.kr,,{},"{""harmless"": 0, ""malicious"": 0}"
health-ask.info,1668562659,"{""Forcepoint ThreatSeeker"": ""newly registered websites""}","{""harmless"": 0, ""malicious"": 0}"
cosmos-energie-sarl.com,1666051200,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
babylonexplore.com,1677506762,{},"{""harmless"": 0, ""malicious"": 0}"
cheriekerr.com,1674324374,"{""BitDefender"": ""business""}","{""harmless"": 0, ""malicious"": 0}"
theiidea.com,1697727849,{},"{""harmless"": 0, ""malicious"": 0}"
healthwelcome.info,1672272000,{},"{""harmless"": 0, ""malicious"": 0}"
เซซามินงาดํา.com,1664730686,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
takst-anlegg.no,,"{""Forcepoint ThreatSeeker"": ""real estate""}","{""harmless"": 0, ""malicious"": 0}"
랑블리펜션.com,1687791242,{},"{""harmless"": 0, ""malicious"": 0}"
betmania.ro,,"{""BitDefender"": ""news"", ""Forcepoint ThreatSeeker"": ""gambling"", ""sophos"": ""gambling"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
mora-tec.com,1617293416,{},"{""harmless"": 0, ""malicious"": 0}"
hellobine.com,1670544000,"{""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
maths-n-abacus.co.in,1662362916,"{""BitDefender"": ""blogs"", ""Forcepoint ThreatSeeker"": ""job search"", ""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
offertifier.com,1679292641,{},"{""harmless"": 0, ""malicious"": 0}"
loginbu.com,1659052800,{},"{""harmless"": 0, ""malicious"": 0}"
